service,date,aircraft,location,lat,lon,target,numweapons,timeon,weapon,weaponweight,missionfunction,numaircraft,unit,timeoff
USN,10/8/1965,A-4,CORAL SEA (CVA-43),17.633333,106.083333,AREA\DEPOT,2,700,LAU-3A/AERO7,342,ARMED RECCE,2,N09677,710
USN,10/8/1965,A-4,CORAL SEA (CVA-43),17.633333,106.083333,AREA\DEPOT,4,700,MK-11/MK-12,57,ARMED RECCE,2,N09677,710
USN,10/8/1965,A-4,CORAL SEA (CVA-43),17.633333,106.083333,AREA\DEPOT,2,700,500LB GP M-64,561,ARMED RECCE,2,N09677,710
USAF,10/8/1965,RF-101,UDORN AB,17.666666,105.783333,ROAD,0,1155,,0,PHOTO RECCE,2,JAJQHB,1205
USN,10/8/1965,A-4,ORISKANY (CVA-34),17.666666,105.183333,BRIDGE,0,1635,,0,ARMED RECCE,4,N09611,1645
USN,10/8/1965,A-4,ORISKANY (CVA-34),17.666666,105.183333,BRIDGE,6,1635,500LB GP M-64,561,ARMED RECCE,4,N09611,1645
USN,10/8/1965,A-4,CORAL SEA (CVA-43),17.666666,106.033333,AREA\DEPOT,0,1030,,0,ARMED RECCE,2,N09677,1031
USN,10/8/1965,A-4,ORISKANY (CVA-34),17.666666,105.166666,ROAD,0,1822,,0,ARMED RECCE,2,N09614,1823
USN,10/8/1965,A-4,CORAL SEA (CVA-43),17.666666,106.033333,AREA\DEPOT,4,1030,MK-11/MK-12,57,ARMED RECCE,2,N09677,1031
USN,10/8/1965,A-4,ORISKANY (CVA-34),17.666666,105.166666,ROAD,8,1822,500LB GP M-64,561,ARMED RECCE,2,N09614,1823
USN,10/8/1965,A-4,CORAL SEA (CVA-43),17.716666,106.466666,ANTI-AIRCRAFT,0,620,,0,ARMED RECCE,2,N09679,625
